start,end,text
0.000,4.200,Máte radi súťaživosť? Vyskúšajme si v tomto videu zasúťažiť.
5.000,8.000,"Vyberieme si napríklad hru Kameň, papier, nožnice."
8.500,14.200,"Základným princípom našej elektronickej hry Kameň, papier, nožnice bude náhoda,"
14.400,18.900,"teda náhodné vyberanie spomedzi kameňa, papiera a nožníc."
19.000,23.100,"Možno sa zamýšľate nad tým, že sa budeme učiť nový príkaz,"
23.100,25.900,napríklad generovanie náhodného symbolu.
26.200,28.200,Taký príkaz však neexistuje.
28.400,31.400,"Namiesto toho budeme pracovať s tým, čo už vieme."
31.600,35.400,"To znamená, že budeme náhodne generovať číslo od 1 do 3"
36.100,39.900,a na základe týchto čísel budeme priraďovať konkrétne symboly.
40.100,42.100,"Kameň, papier a nožnice."
42.600,46.900,"Najskôr si vytvoríme nový projekt s názvom Kameň, papier, nožnice."
47.400,52.400,"Bloky počas spustenia a vždy nebudeme potrebovať, takže ich môžeme vymazať."
53.100,57.100,Namiesto toho vyberieme zo vstupu potrasenie.
57.600,61.100,"To znamená blok, keď potrasenie vyberieme."
61.600,65.600,"Vždy, keď budeme triasť, budeme sa hrať Kameň, papier alebo nožnice."
66.600,69.600,Následne potrebujeme vytvoriť premennú ruka.
70.100,76.600,"Ideme do červenej kategórie premenná a vytvoríme premennú, ktorú pomenujeme ruka."
76.800,83.800,"My chceme nastavovať túto našu premennú ruka na náhodne generované čísla 1, 2 alebo 3."
84.300,87.300,Vyberieme blok nastaviť ruka na 0.
87.800,91.800,Avšak teraz tá premenná sa vždy bude nastavovať na 0.
92.300,95.300,"My ju chceme nastavovať na 1, 2 alebo 3."
95.800,98.800,"To znamená, že ideme do fialovej kategórie matematika"
99.300,103.800,"a vyberieme z tej príkaz, ktorý už veľmi dobre poznáme a nastavíme."
104.000,110.000,"My máme tri symboly, takže budeme mať tri čísla 1, 2 alebo 3."
110.500,114.500,"To znamená, že rozsah bude od 1 do 3."
115.500,120.500,"Tu sa nám bude generovať náhodné číslo, ktoré sa následne uloží do premennej ruka."
121.000,124.000,Teraz budeme pracovať s podmienkou.
124.500,128.500,"To znamená, že ideme do tyrkysovej kategórie."
129.200,133.200,"Lenže my nemôžeme hovoriť, že ak sa stala nejaká pravda,"
133.700,135.700,potom sa niečo vykoná.
136.200,140.200,"My chceme do tej podmienky zakomponovať čísla 1, 2 alebo 3."
140.700,143.700,"To znamená, ak padne jednotka, bude to kameň."
144.200,146.200,"Ak padne dvojka, bude to papier."
146.700,149.700,"A keď sa stala nejaká pravda, potom sa niečo vykoná."
150.200,153.200,"A keď sa stala nejaká pravda, potom sa niečo vykoná."
153.700,156.700,"A keď sa stala nejaká pravda, potom sa niečo vykoná."
156.900,158.900,"Ak padne dvojka, bude to papier."
159.400,161.400,"Ak padne trojka, budú to nožnice."
161.900,163.900,"To znamená, že musíme niečo porovnávať."
164.400,168.400,Ideme opäť do logiky a vyberieme si porovnanie.
168.900,174.900,"To znamená príkaz 0 sa rovná 0, ktorú vložíme do pravdy."
175.900,181.900,"Teraz blok vyzerá tak, že ak 0 sa rovná 0, potom sa niečo vykoná."
182.100,187.100,"My sa chceme opýtať, či tá naša premenná ruka sa rovná 1."
187.600,189.600,Či sme teda náhodne vygenerovali jednotku.
190.100,193.100,"To znamená, že ideme znova do červenej kategórie premenná"
