start,end,text
0.000,12.640,"Model Gold Standard PBL myslí nielen na prvky projektového vyučovania,"
12.840,16.040,"ale aj na postupy, ktoré by mal učiteľ dodržiavať,"
16.320,19.240,aby bol blok projektového vyučovania úspešný.
19.920,22.880,Čo je vlastne úlohou učiteľa v projektovom vyučovaní?
23.440,27.840,"Jasne definované postupy nám pomáhajú plánovať, kontrolovať"
27.960,29.640,a späťne hodnotiť naše kroky.
30.600,33.840,Pri projektovom vyučovaní na základe Gold Standard PBL
34.120,37.000,rozoznávame 7 základných učiteľských postupov.
37.360,38.840,Designovanie a plánovanie.
39.560,42.000,"Učitelia navrhnú a naplánujú projekt tak,"
42.440,46.760,"aby jeho téma, obsah alebo kontext bol v súlade s potrebami žiakov."
47.360,51.000,Projekt by mal byť podrobne naplánovaný už pred spustením.
51.200,53.000,Zasúladenie so štandardmi.
53.840,57.440,Plnohodnotný projekt by mal byť v súlade so vzdelávacími štandardmi.
58.120,62.320,Je z tým potrebné počítať už pri výbere témy a počas plánovania projektu.
62.560,64.120,Vytváranie projektovej kultúry.
64.920,68.360,"Učitelia podporujú nezávislosť a rast žiakov,"
68.680,71.040,"bádateľského ducha, spoluprácu"
71.320,73.560,ako aj zameranie sa na kvalitu výstupov.
74.160,77.600,"Cieľom je vytvoriť projektovú kultúru otvorenú chybám,"
77.880,81.560,"rozvoju, bádaniu, postavenú na dôvere a spolupráci"
81.840,84.040,medzi predmetmi i s externým prostredím.
84.280,85.440,Manažovanie a aktivit.
86.440,90.600,"Učitelia spolupracujú so žiakmi pri organizovaní úloh a plánov,"
90.840,93.720,"stanovovaní kontrolných míľnikov a termínov,"
94.120,96.560,"vyhľadávaní a používaní zdrojov,"
96.800,99.360,vytváraní produktov a ich prezentácii.
99.640,103.320,"Vytváranie podporných schodníkov, po anglicky scaffolding."
104.080,108.080,"Učitelia ponúkajú žiakom podporu pri dosahovaní cieľov projektu,"
108.280,113.560,"pri rozvíjaní zručností, vedomostí, schopností, hodnôt a postojov."
114.240,115.800,Učiteľ nasmerováva žiaka.
116.120,118.240,"Ak sa potrebuje rozvinúť v nejakej oblasti,"
118.560,120.840,"pomôže mu nájsť nástroj, ako na to."
121.280,123.320,"Napríklad cez doplnkové materiály,"
123.680,125.560,"kontakt s externými odborníkmi,"
126.000,129.320,"cez mentoring, konzultácie, videá a podobne."
129.600,131.720,Hodnotenie procesu učenia sa žiakov.
132.960,135.560,"Učitelia používajú rôzne formy hodnotenia,"
135.760,137.400,formatívne aj sumatívne.
137.920,141.760,"Zameriavajú sa nielen na vedomosti, hĺbku porozumenia témy"
141.880,143.040,"alebo problematiky,"
143.320,146.840,"ale aj na zručnosti, schopnosti, hodnoty, postoje"
146.920,148.560,či motiváciu v rámci projektu.
149.240,152.400,Projekt by mal obsahovať sebahodnotenie žiaka
152.640,155.960,"ako je partnerské hodnotenie, zapojenie a sprevádzanie."
156.760,160.200,Učitelia sa spoločne so žiakmi zapájajú do učenia sa.
160.680,163.720,"Spoločne identifikujú, kedy potrebujú podporu,"
163.880,166.600,napríklad v podobe budovania zručností a vedomostí.
167.280,169.440,Učiteľ je v roli facilitátora.
170.120,173.720,Učiteľ pracuje so žiakmi na organizovaní úloh a rozvrhov.
174.120,178.480,"Priamo netvorí, ale nasmerováva, povzbudzuje, dáva spätnú väzbu"
178.840,181.240,a spoločne oslavujú dosiahnuté milníky.
181.640,185.000,Podobne ako pri 7 základných dizajnovacích prvkoch
185.200,186.400,"projektového vyučovania,"
186.760,189.280,aj pri 7 základných učiteľských postupoch
189.600,191.640,máme pripravenú užitočnú pomôcku.
192.080,193.640,"Je ňou hodnotiaca tabuľka,"
194.000,198.360,ktorá opäť obsahuje opis troch úrovní zvládnutia spomínaných postupov.
199.440,202.440,www.arkance-systems.org
