start,end,text
0.000,4.000,V následujúcej kapitole sa budeme venovať NeoPixel LED pásikom.
4.000,8.000,"Povieme si, ako fungujú, ako ich pripojiť k micro:bitu,"
8.000,11.000,ako na nich zobrazovať rôzne zaujímavé animácie.
11.000,15.000,"Ja budem využívať LED pásik, čo z základnej sady Učíme s Hardvérom,"
15.000,19.000,"ktorý má 8 LEDiek, čiže 8 pikselov."
19.000,22.000,"No ešte predtým, ako začneme NeoPixel programovať,"
22.000,25.000,si povedzme niečo viac o LED pásikoch.
25.000,28.000,Existujú 3 základné druhy LED pásikov.
28.000,32.000,"Jednofarebné, viacfarebné a individuálne adresovateľné."
32.000,36.000,Jednofarebné LED pásiky sú asi najrozšírenejšie.
36.000,39.000,"Keď ich zapneme, všetky LEDky na LED pásiku"
39.000,42.000,svietia rovnakou farbou a intenzitou.
42.000,45.000,"Často ich nájdete zabudované v kuchynských linkách,"
45.000,49.000,kde osvetľujú pracovnú plochu či ako podsvietenie v izbe.
49.000,52.000,"Nie je na nich možné nastavovať farbu,"
52.000,55.000,"no vďaka pulznej šírkovej modulácii, čiže PWM,"
55.000,59.000,"ktorú sme predstavili v predchádzajúcej kapitole pri LED diódach,"
59.000,62.000,"je možné na takýchto LED pásikoch meniť silu svietenia,"
62.000,65.000,no iba všetkým LEDkam spoločne.
65.000,68.000,"Na druhom type LED pásikov, viacfarebných LED pásikoch,"
68.000,71.000,"je možné nastaviť rôzne farby,"
71.000,75.000,avšak celý LED pásik svieti vždy rovnakou farbou a intenzitou.
75.000,80.000,"Môže byť napríklad celý modrý, zelený, červený alebo biely,"
80.000,83.000,ale nikdy na ňom nebude svietiť viacero farieb naraz.
83.000,85.000,"Ja dnes použijem tretí druh,"
85.000,88.000,individuálne adresovateľné LED pásiky.
88.000,91.000,"To, že sú individuálne adresovateľné, znamená,"
91.000,94.000,že pre každú jednu LEDku na LED pásiku
94.000,97.000,viem nastaviť inú farbu a intenzitu svetla.
97.000,101.000,Tým pádom na ňom viem zobraziť dúhu alebo aj rovno animácie.
103.000,106.000,Individuálne adresovateľné LED pásiky
106.000,109.000,sa niekedy nazývajú aj NeoPixel LED pásiky.
110.000,113.000,Poďme si pripojiť takýto NeoPixel LED pásik k micro:bitu.
113.000,116.000,Zvyčajne má tri farebne rozlíšené kábliky.
116.000,121.000,Čierny slúži na uzemnenie a pripájame ho ku kolíku GND.
127.000,132.000,"Červený káblik slúži na napájanie a pripájame ho ku kolíku 3V, čiže k 3 V."
140.000,144.000,"NeoPixel LED pásiky sú zväčša stavané na 5 V,"
144.000,149.000,"no pri takýchto krátkych pásikoch prežijú aj 3,3 V z micro:bita."
149.000,152.000,"Ak by sme ale napájali i dlhší LED pásik,"
152.000,155.000,je už potrebné použiť 5 V zdroj.
155.000,158.000,Tretí káblik má zvyčajne žltú alebo zelenú farbu.
158.000,161.000,"Pomocou neho micro:bit vysiela signály LED pásiku,"
161.000,164.000,akú farbu má nastaviť na ktorej LED dióde.
164.000,167.000,Pripojíme ho teda k vstupno-výstupnému kolíku 0.
170.000,176.000,Ako ale funguje komunikácia medzi micro:bitom a NeoPixel LED pásikom?
176.000,178.000,"Ak sa lepšie pozriete,"
178.000,182.000,každá LEDka na NeoPixel LED pásiku obsahuje čiernu bodku v strede.
182.000,184.000,"Je to malý mikroprocesor,"
184.000,187.000,ktorý dokáže prečítať inštrukcie od micro:bita
187.000,190.000,a na základe toho zobrazovať konkrétnu farbu pre daný piksel.
190.000,195.000,Pre správne nastavenie farby každý piksel potrebuje 3x údajov.
195.000,197.000,Prečo práve 3x?
197.000,200.000,"Pretože ako sme skúšali aj na konci predchádzajúcej kapitoly,"
200.000,204.000,RGB LEDky sa v skutočnosti skladajú z troch jednofarebných LEDiek.
204.000,207.000,"Červenej, modrej a zelenej."
207.000,209.000,"Keďže má náš pásik 8 pikselov,"
209.000,212.000,"micro:bit vždy, keď chce zobraziť nejakú zmenu na mikrobite,"
212.000,214.000,pošle 24 bajtov.
214.000,216.000,Prvý piksel príjme 24 bajtov.
216.000,220.000,3 z nich si ponechá a podľa toho nastaví farbu na LEDke
220.000,223.000,a zvyšných 21 bajtov prepošle ďalej.
223.000,226.000,Takto to pokračuje až po posledný piksel.
226.000,231.000,Veľká iná forma komunikácie medzi micro:bitom a NeoPixel LED pásikom neexistuje.
231.000,234.000,"micro:bit preto nevie, aký dlhý LED pásik má pripojený,"
234.000,236.000,či tam vôbec nejaký je.
236.000,238.000,"Dôležité je poznamenať,"
238.000,242.000,"že ak by som aj chcel pozmeniť iba jeden jediný piksel na LED pásiku,"
242.000,245.000,"micro:bit musí poslať celých 24 bajtov vždy,"
245.000,248.000,pretože nevie poslať inštrukcie iba konkrétnej LEDke.
248.000,251.000,Prejdime teraz k programovaniu LED pásika.
251.000,254.000,"Aby sme v prostredí MakeCode mohli programovať LED pásik,"
254.000,257.000,musíme kliknúť na kategóriu pokročilé
257.000,260.000,a následne na rozšírenia.
260.000,263.000,"Otvorí sa nám stránka s rozšíreniami,"
263.000,266.000,na ktorej musíme kliknúť na NeoPixel.
268.000,272.000,Následne vľavo pribudne nová kategória NeoPixel.
273.000,276.000,Z nej zoberiem hneď prvý príkaz
276.000,281.000,nastaviť strip na NeoPixel a vložím ho do bloku počas spustenia.
285.000,288.000,"Tento príkaz micro:bitu povie,"
288.000,291.000,ku ktorému kolíku je LED pásik pripojený a aký je dlhý.
291.000,295.000,"Keďže sme žltý káblik od LED pásiku pripojili ku kolíku 0,"
295.000,298.000,P0 necháme bez zmeny.
298.000,301.000,"LED pásik, ktorý používam ja, má 8 LEDiek,"
301.000,304.000,preto pôvodné číslo 24 zmením na 8.
306.000,309.000,"Posledná možnosť je formát,"
309.000,312.000,v ktorom micro:bit dosiela údaje do NeoPixel LED pásika.
312.000,315.000,Väčšinou postačuje nechať už prednastavenú možnosť.
315.000,318.000,"Ak by ste ale náhodou zistili,"
318.000,321.000,"že vám LED pásik prehádzuje červenú a zelenú farbu,"
321.000,324.000,"môžete to tu zmeniť výberom poslednej možnosti,"
324.000,327.000,no to je iba veľmi výnimočné.
327.000,330.000,"micro:bitu sme už povedali, kde má pripojený LED pásik,"
330.000,333.000,už stačí len rozsvietiť.
333.000,336.000,"Ak by som chcel LED pásik rozsvietiť na červenú farbu,"
336.000,339.000,z kategórie NeoPixel vezmem príkaz strip show color red
340.000,343.000,a vložím ho do bloku počas spustenia.
343.000,347.000,Červeno svietiaci LED pásik sa mi zobrazuje už aj v simulátore.
348.000,351.000,Ja si ho ale radšej nahrám na fyzický micro:bit.
353.000,357.000,Po nahratí programu sa mi LED pásik celý rozsvieti na červenú farbu.
358.000,361.000,"Doprogramujeme ešte funkcionalitu,"
361.000,364.000,aby sa pri stlačení tlačidla A zmenila farba na zelenú
364.000,367.000,a pri stlačení tlačidla B zmenila farba na modrú.
370.000,374.000,"Použijeme na to príkazy, keď sa tlačidlo A stlačí"
377.000,380.000,a strip show color red.
382.000,386.000,Pri tlačidle A červenú farbu zmeníme za zelenú.
386.000,390.000,Podobne postupujeme aj pri stlačení tlačidla B.
399.000,403.000,Po nahratí programu na micro:bit sa mi teraz pri stlačení tlačidiel
403.000,407.000,menia farby na zelenú a modrú farbu.
408.000,411.000,"Ak by som chcel naspäť zobraziť červenú farbu,"
411.000,414.000,stlačím tlačidlo reset na zadnej strane dosky.
415.000,418.000,V tomto videu sme mali viac taký teoretický úvod
418.000,421.000,k programovaniu NeoPixel LED pásikov.
421.000,424.000,"Popísali sme si, ako fungujú a ako sa odlišujú"
424.000,426.000,od iných typov LED pásikov.
426.000,429.000,V následujúcich videách sa už vrhneme viac do programovania
429.000,431.000,a budeme tvoriť LED pásikmi animácie.
