course_id,lecture_slug,lecture_title,annotator,lo_id,text,verb,cognitive_process
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_001,"Študent vie vymenovať komponenty potrebné na zostavenie banánového klavíra (dva micro:bity s USB káblami, USB nabíjačku, reproduktor s 3,5 mm jackom, krokosvorkové káble, alobal a banány).",vymenovať,1
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_002,"Študent vie identifikovať programovateľné kolíky 0, 1 a 2 na spodnej strane micro:bita.",identifikovať,1
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_003,Študent vie vysvetliť úlohu kolíka GND pri uzatváraní elektrického obvodu medzi rukou študenta a banánom.,vysvetliť,2
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_004,"Študent vie skonštruovať program, ktorý pri stlačení kolíka P1 prehrá tón stredné C a pri stlačení kolíka P2 tón stredné D.",skonštruovať,3
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_005,Študent vie posúdiť voľbu stredného C ako východiskového tónu vzhľadom na jeho polohu v strede klaviatúry a obvyklý rozsah piesní.,posúdiť,5
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_006,"Študent vie skonštruovať zapojenie, ktoré krokosvorkovými káblami pripája každý banán k jednému programovateľnému kolíku a alobal ku kolíku GND.",skonštruovať,3
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_007,"Študent vie opísať funkciu jednotlivých častí 3,5 mm jack konektora — ľavého a pravého kanála a spoločnej zeme.",opísať,2
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_008,Študent vie použiť krokosvorkové káble na pripojenie ľavého kanála reproduktora ku kolíku P0 a spoločnej zeme k alobalu.,použiť,3
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_009,Študent vie vysvetliť dôvod použitia druhého micro:bita pri rozšírení klavíra na viac ako tri klávesy.,vysvetliť,2
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_010,"Študent vie skonštruovať program prijímacieho micro:bita, ktorý nastaví rádio skupinu 1 a pri prijatí čísla prehrá zodpovedajúci tón.",skonštruovať,3
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_011,"Študent vie skonštruovať program odosielajúceho micro:bita, ktorý pri stlačení kolíkov P0, P1 a P2 odošle rádiom frekvencie tónov stredné E, F a G.",skonštruovať,3
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_012,"Študent vie vysvetliť, prečo sa medzi micro:bitmi prenášajú namiesto názvov nôt číselné hodnoty zodpovedajúce ich frekvencii.",vysvetliť,2
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_013,"Študent vie navrhnúť rozšírenie klavíra o tretí micro:bit tak, aby výsledný nástroj poskytol osem klávesov.",navrhnúť,6
1,bananovy-klavir,Banánový klavír,b,b_bananovy_klavir_014,"Študent vie navrhnúť úpravu programu, ktorá zabezpečí, aby tón znel počas celého trvania dotyku banánu, a nie len fixnú dĺžku.",navrhnúť,6
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_001,"Študent vie vysvetliť, prečo náhodný výber spomedzi kameňa, papiera a nožníc realizujeme cez generovanie čísla 1 až 3 a nie priamo.",vysvetliť,2
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_002,Študent vie použiť blok keď potrasenie zo vstupnej kategórie ako spúšťač jedného kola hry.,použiť,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_003,"Študent vie skonštruovať program, ktorý pri potrasení nastaví premennú ruka na náhodne vygenerované číslo z rozsahu 1 až 3.",skonštruovať,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_004,Študent vie skonštruovať vetviacu podmienku if/else nad hodnotou premennej ruka.,skonštruovať,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_005,"Študent vie vysvetliť, prečo posledná vetva else už nepotrebuje explicitné porovnanie ruka rovná sa 3.",vysvetliť,2
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_006,"Študent vie skonštruovať program, ktorý pre hodnoty 1, 2 a 3 vykreslí na displeji symboly kameň, papier a nožnice.",skonštruovať,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_007,"Študent vie vysvetliť, prečo treba za vykreslenie symbolu zaradiť pauzu a vymazanie obrazovky.",vysvetliť,2
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_008,"Študent vie skonštruovať program, ktorý po zobrazení symbolu pozastaví na jednu sekundu a následne vymaže obrazovku.",skonštruovať,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",b,b_kamen_papier_noznice_009,Študent vie navrhnúť rozšírenie programu o počítadlo skóre ovládané tlačidlami A a B.,navrhnúť,6
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_001,"Študent vie rozlišovať tri druhy LED pásikov — jednofarebné, viacfarebné a individuálne adresovateľné — podľa toho, čo všetko sa na nich dá nastaviť.",rozlišovať,4
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_002,Študent vie vysvetliť úlohu pulznej šírkovej modulácie pri ovládaní intenzity svietenia jednofarebných LED pásikov.,vysvetliť,2
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_003,Študent vie pomenovať individuálne adresovateľné LED pásiky alternatívnym názvom NeoPixel.,pomenovať,1
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_004,"Študent vie identifikovať tri kábliky NeoPixel LED pásika podľa farby a účelu (čierny GND, červený napájanie, žltý alebo zelený dátový).",identifikovať,1
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_005,"Študent vie skonštruovať zapojenie NeoPixel LED pásika k micro:bitu, ktoré dátový káblik pripája ku kolíku P0.",skonštruovať,3
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_006,"Študent vie rozlišovať, kedy stačí napájať NeoPixel LED pásik z 3,3 V kolíka micro:bita a kedy je potrebný externý 5 V zdroj.",rozlišovať,4
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_007,"Študent vie posúdiť pre konkrétny LED pásik, či ho napájať priamo z micro:bita alebo cez externý 5 V zdroj.",posúdiť,5
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_008,"Študent vie vysvetliť, ako mikroprocesor v jednom pikseli prijme tri bajty údajov pre svoju farbu a zvyšok prepošle ďalšiemu pikselu.",vysvetliť,2
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_009,"Študent vie vypočítať počet bajtov, ktoré micro:bit posiela do NeoPixel LED pásika s daným počtom pikselov pri pomere tri bajty na piksel.",vypočítať,3
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_010,"Študent vie vysvetliť, prečo musí micro:bit pri zmene čo i len jediného piksela odoslať bajty pre celý LED pásik.",vysvetliť,2
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_011,Študent vie použiť blok nastaviť strip na NeoPixel s parametrami pre kolík P0 a osem LEDiek.,použiť,3
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_012,"Študent vie skonštruovať program, ktorý pri stlačení tlačidiel A a B prepína farbu celého LED pásika na zelenú a modrú.",skonštruovať,3
5,pokrocily-led-pasiky,LED pásiky,b,b_pokrocily_led_pasiky_013,"Študent vie navrhnúť vlastnú svetelnú animáciu na NeoPixel LED pásiku, ktorá ide nad rámec lekciou ukázaného červeno-zeleno-modrého striedania.",navrhnúť,6
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_001,"Študent vie vysvetliť mechanizmus, ktorým sa pri zvyšovaní množstva vody v pôde rozpúšťajú minerály a klesá jej elektrický odpor.",vysvetliť,2
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_002,Študent vie rozlišovať suchú a vlhkú pôdu na základe ich vodivosti a očakávaných hodnôt analógového čítania.,rozlišovať,4
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_003,"Študent vie vymenovať komponenty potrebné na zostavenie senzora vlhkosti pôdy (micro:bit, krokosvorkové káble a dva kúsky vodivého drôtu).",vymenovať,1
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_004,"Študent vie skonštruovať zapojenie, ktoré dva kúsky drôtu zasunuté do okrajov kvetináča pripája ku kolíkom P1 a 3V.",skonštruovať,3
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_005,"Študent vie použiť blok nastaviť zabudovaný rezistor kolíka P1 na pull-down, čím sa 13 kΩ rezistor prepojí so zemou.",použiť,3
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_006,"Študent vie skonštruovať program, ktorý cez sériové rozhranie odosiela hodnoty z analógového čítania kolíka P1 so 100 ms pauzou.",skonštruovať,3
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_007,Študent vie interpretovať namerané hodnoty v konzole MakeCode pre suchú a postupne zalievanú pôdu.,interpretovať,2
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_008,"Študent vie posúdiť pre konkrétny kvetináč prahové hodnoty vlhkosti, pri ktorých má senzor zobraziť šťastného, smutného alebo nahnevaného smajlíka.",posúdiť,5
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_009,"Študent vie skonštruovať program, ktorý podľa hodnoty premennej vlhkosť zobrazí na displeji jedného z troch smajlíkov.",skonštruovať,3
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_010,"Študent vie použiť blok prehratia tónu stredné C v urgentnej vetve podmienky, keď vlhkosť klesne pod obe prahové hodnoty.",použiť,3
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_011,"Študent vie naplánovať vlastný kalibračný postup, ktorý odmeria hodnoty v suchej a v práve zaliatej pôde a podľa nich nastaví prahové hodnoty programu.",naplánovať,6
5,pokrocilyvlhkost-pody,Meranie vlhkosti pôdy,b,b_pokrocilyvlhkost_pody_012,"Študent vie identifikovať, že micro:bit verzie 1 vyžaduje pre prehrávanie tónu pripojený externý reproduktor.",identifikovať,1
